CPU,ATRam,ATStorage,Internet
0.05147058824,0.93054,0.7434497817,0.09090909091
0.1691176471,0.7835108108,0.6724137931,0
0.04411764706,0.8089520548,0.724137931,0.09090909091
0.04411764706,0.3230769231,0.5423728814,0
0.3161764706,0.5897435897,0.11,0.09090909091
0.3455882353,0.8205128205,0.2533333333,0
0.2573529412,0.8205128205,0.008933333333,0.09090909091
0.04411764706,0.8145310345,0.2282051282,1
0.05147058824,0.9070913793,0.1103448276,1
0.1323529412,0.9070913793,0.2244897959,1
0.1691176471,0.9256034483,0.1103448276,1
0.6617647059,0.9070913793,0.1795918367,1
0,0.9626275862,0.1517241379,1
0.02205882353,0.9256034483,0.1655172414,1
0.02941176471,0.9441155172,0.2244897959,0.09090909091
0.02205882353,0.9256034483,0.1724137931,1
0.7426470588,0.7404827586,0.06206896552,1
1,0.9360461538,0.4576271186,0.09090909091

